,bedrooms,beds,accommodates,amenities_count,instant_bookable,minimum_nights,number_of_reviews,bathrooms,monthly_revenue,room_type_Entire_home_apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
501,3.0,4.0,8,53,0,31,51,2.0,1,1,0,0,0
503,1.0,1.0,3,14,0,30,0,1.0,1,1,0,0,0
504,2.0,2.0,4,54,0,30,3,2.0,0,1,0,0,0
505,1.0,1.0,2,1,0,30,2,1.0,1,1,0,0,0
506,1.0,1.0,2,41,0,2,69,1.0,1,1,0,0,0
507,1.0,1.0,2,16,1,31,77,0.0,1,1,0,0,0
508,0.0,1.0,4,18,0,30,0,1.0,0,1,0,0,0
509,1.0,4.0,5,16,0,1,0,1.0,1,1,0,0,0
510,0.0,2.0,4,14,0,30,0,1.0,1,0,0,1,0
511,1.0,1.0,3,9,0,30,2,1.0,0,1,0,0,0
512,0.0,1.0,1,9,0,1,0,1.0,0,0,0,0,1
513,0.0,1.0,2,16,1,2,12,1.0,0,0,0,1,0
514,1.0,2.0,2,20,0,30,0,1.0,1,0,0,1,0
515,1.0,1.0,2,14,0,1,2,1.0,1,0,0,1,0
516,0.0,1.0,1,11,0,3,1,1.0,0,0,0,1,0
517,0.0,1.0,2,13,0,30,0,1.0,1,0,0,1,0
518,0.0,0.0,1,9,0,1,0,0.0,0,0,0,0,1
519,1.0,1.0,2,23,0,2,0,1.0,0,0,0,1,0
520,0.0,5.0,8,8,0,180,0,3.0,1,0,0,1,0
521,1.0,0.0,1,13,1,30,1,1.0,0,0,0,1,0
522,1.0,3.0,5,10,0,30,0,1.0,1,1,0,0,0
525,2.0,2.0,4,37,0,30,27,1.0,1,1,0,0,0
